1024_mb_x_1024_kb	1024_mb_x_16384_kb	1024_mb_x_2048_kb	1024_mb_x_256_kb	1024_mb_x_32768_kb	1024_mb_x_4096_kb	1024_mb_x_512_kb	1024_mb_x_8192_kb	128_mb_x_1024_kb	128_mb_x_16384_kb	128_mb_x_2048_kb	128_mb_x_256_kb	128_mb_x_32768_kb	128_mb_x_4096_kb	128_mb_x_512_kb	128_mb_x_8192_kb	2048_mb_x_1024_kb	2048_mb_x_16384_kb	2048_mb_x_2048_kb	2048_mb_x_256_kb	2048_mb_x_32768_kb	2048_mb_x_4096_kb	2048_mb_x_512_kb	2048_mb_x_8192_kb	256_mb_x_1024_kb	256_mb_x_16384_kb	256_mb_x_2048_kb	256_mb_x_256_kb	256_mb_x_32768_kb	256_mb_x_4096_kb	256_mb_x_512_kb	256_mb_x_8192_kb	512_mb_x_1024_kb	512_mb_x_16384_kb	512_mb_x_2048_kb	512_mb_x_256_kb	512_mb_x_32768_kb	512_mb_x_4096_kb	512_mb_x_512_kb	512_mb_x_8192_kb	warm-1024	warm-128	warm-256	warm-512
229.55	103.08	220.85	174.77	25.69	165.26	147.17	90.98	54.39	10.50	41.59	149.57	12.80	44.99	37.09	21.20	220.06	43.49	159.86	58.29	13.70	198.75	223.35	114.97	29.19	16.00	28.49	46.59	13.50	27.49	33.89	23.89	20.20	22.30	21.50	22.60	15.20	32.29	18.70	7.50	0.65	0.65	0.45	1.25
281.71	262.01	114.00	107.40	27.80	208.80	93.90	117.20	24.80	15.10	35.90	103.10	13.60	30.00	22.30	24.20	227.40	48.70	103.70	27.00	16.90	56.70	103.10	121.00	20.00	14.50	22.90	53.50	17.10	20.20	24.40	22.40	17.60	26.00	37.80	38.60	14.50	35.80	16.00	24.70	0.85	0.80	0.60	1.35
7.60	287.50	252.80	195.00	28.00	182.50	173.00	125.10	30.10	14.00	34.00	63.60	12.90	34.60	36.20	15.80	101.50	41.00	121.80	35.70	19.60	87.70	95.00	53.10	24.60	17.40	32.00	34.10	19.30	25.20	31.20	27.00	22.00	18.30	37.10	44.20	14.30	37.80	17.60	11.90	0.80	0.95	1.10	0.95
41.90	255.90	72.50	79.10	26.40	88.20	18.90	115.00	52.30	16.00	35.00	70.20	14.50	37.70	33.30	17.80	86.30	29.40	156.50	41.40	20.10	130.90	121.20	69.70	21.90	17.20	31.40	40.20	17.80	26.90	37.10	27.10	25.60	23.70	25.70	40.40	17.10	24.70	17.20	20.80	1.60	1.15	0.70	0.90
184.90	278.80	104.80	0.00	30.80	164.90	122.00	108.40	52.40	12.90	40.80	93.20	14.80	32.00	37.50	18.20	120.60	37.50	152.60	33.70	19.10	137.50	129.00	78.00	21.90	16.00	27.90	38.20	18.70	32.40	31.90	27.50	28.40	24.80	37.30	16.40	15.50	41.00	20.20	10.10	1.00	0.70	0.50	0.80
266.90	278.10	250.80	212.00	29.40	69.80	186.30	111.60	33.10	14.20	35.90	99.60	14.40	36.10	35.10	19.90	136.70	34.80	94.70	30.00	20.90	96.60	137.10	75.00	18.20	16.80	33.20	36.80	16.30	40.90	28.00	26.80	26.00	24.40	32.60	45.10	16.30	37.80	25.20	12.50	1.55	0.80	0.65	1.20
1.40	280.00	62.40	155.00	32.20	280.20	186.40	105.30	48.50	15.30	32.40	85.10	15.20	36.60	28.20	17.20	140.10	36.60	111.30	12.20	20.70	102.50	117.90	78.20	13.60	18.90	20.40	36.00	18.30	41.30	32.20	25.10	21.10	25.30	33.80	32.70	16.20	40.20	24.90	13.60	1.80	0.90	0.50	1.50
107.30	266.40	204.50	180.10	30.40	163.00	106.20	98.70	29.10	14.50	25.50	92.30	15.00	44.40	33.40	13.90	148.60	36.10	134.30	23.00	20.90	105.50	119.70	93.60	10.50	19.60	27.60	42.70	16.60	40.30	28.10	27.30	22.70	24.50	35.70	43.90	16.90	39.50	22.20	15.00	1.20	1.05	0.60	0.85
283.50	297.50	247.69	86.40	31.10	29.80	30.10	102.00	42.90	14.20	25.40	90.90	14.70	47.20	40.10	18.70	98.30	40.60	186.30	22.70	24.60	117.10	164.90	87.80	21.60	16.70	37.00	44.70	18.20	36.60	20.50	17.70	29.50	20.20	34.30	42.00	17.40	46.80	26.90	19.30	0.95	0.45	0.50	0.90
228.60	236.00	264.61	166.40	36.80	164.60	181.20	120.30	50.40	14.60	31.40	102.60	15.20	42.80	35.80	16.60	146.40	38.80	125.10	28.00	25.30	96.70	141.20	80.00	23.70	20.00	30.40	57.00	19.50	34.60	18.60	21.40	29.60	23.60	39.30	50.90	18.30	46.30	26.20	20.10	1.20	1.00	0.90	0.65
130.10	281.30	166.70	106.90	36.20	124.10	127.10	117.30	62.60	15.00	48.80	85.10	15.60	41.70	34.40	18.70	150.80	41.40	99.50	25.10	15.10	64.30	126.90	78.60	31.20	20.10	28.20	50.60	16.70	36.30	22.40	19.00	29.20	27.10	29.50	36.20	18.90	33.40	26.10	23.40	1.30	1.05	0.70	0.90
141.80	223.00	236.50	185.30	36.40	88.90	30.90	129.70	54.70	15.90	56.80	68.20	18.60	48.90	47.80	15.60	162.80	46.10	117.80	27.60	20.20	79.20	101.00	94.30	32.40	16.80	27.00	47.70	16.80	40.10	23.80	18.20	33.00	20.40	33.40	49.80	18.30	39.50	28.80	25.50	0.95	0.90	1.65	1.05
190.60	270.79	157.00	66.70	32.90	262.10	181.00	125.50	52.70	13.30	51.40	84.80	17.60	32.10	47.90	18.60	136.50	44.90	154.50	28.50	21.30	133.80	119.00	91.70	28.90	18.40	29.40	43.70	21.50	32.30	22.50	18.70	31.20	30.10	19.40	47.80	19.70	38.80	27.00	28.90	0.50	0.50	1.80	1.15
49.70	273.70	128.40	9.10	42.30	112.20	219.01	116.30	26.80	16.10	48.70	81.40	17.70	22.60	55.30	21.60	104.70	52.00	180.30	22.40	25.40	153.00	144.50	94.70	28.50	20.40	37.20	43.60	18.60	41.50	25.40	23.30	30.50	31.30	29.40	49.60	19.20	46.30	24.70	26.80	0.90	0.70	3.40	1.25
124.70	284.80	266.00	119.50	39.00	45.00	82.80	114.30	28.70	18.00	45.20	80.10	17.60	21.60	48.50	22.90	141.00	48.60	99.70	22.60	23.80	117.60	166.50	107.20	26.80	19.00	27.10	50.40	20.30	41.40	28.80	26.40	30.20	20.30	26.30	55.00	18.80	55.00	21.30	17.00	1.10	1.00	1.95	0.95
2.30	205.30	199.10	202.20	39.90	287.50	190.50	112.20	21.10	15.40	46.20	56.10	16.50	26.30	46.40	24.90	176.70	43.70	109.40	31.60	27.70	94.10	142.20	78.90	28.50	17.80	25.10	44.50	20.70	36.40	26.20	28.20	28.20	30.90	20.70	55.10	19.80	51.30	29.50	21.10	1.25	0.95	2.60	1.05
232.30	144.00	39.00	209.10	30.10	255.20	1.00	106.90	46.30	18.10	40.00	86.00	12.40	33.60	43.50	20.30	135.30	53.00	133.00	22.30	24.40	95.90	105.60	84.30	18.70	20.40	21.30	55.70	19.30	29.30	28.70	23.20	28.40	30.10	19.60	56.90	21.00	29.40	24.00	29.90	1.00	1.60	2.75	0.60
244.60	151.30	284.70	117.70	38.80	149.80	86.00	32.30	46.60	17.70	54.80	108.50	14.90	31.60	55.20	23.00	100.70	49.40	181.90	20.70	27.20	155.20	115.60	95.50	22.60	21.50	29.40	53.70	20.00	37.00	25.10	18.50	18.30	35.50	19.90	64.40	20.20	34.90	30.00	29.30	1.50	1.15	3.20	0.65
169.20	162.90	193.00	24.50	45.00	105.90	287.60	107.30	39.10	16.90	64.10	118.20	16.90	38.40	56.00	23.30	113.00	55.30	136.00	19.60	26.90	151.90	183.50	111.00	30.30	21.10	28.50	50.00	22.00	35.50	27.60	15.70	15.80	31.30	22.30	64.60	21.00	29.60	26.50	30.70	1.15	1.95	3.10	0.90
70.00	151.10	277.60	134.90	43.70	0.00	222.40	37.90	26.90	17.20	52.00	33.10	14.50	36.50	68.70	26.40	172.20	53.60	103.70	20.10	26.90	103.90	156.20	120.10	30.40	18.70	26.40	54.00	19.80	25.30	32.30	26.20	22.10	36.50	21.50	67.30	16.30	35.00	31.40	25.80	1.35	1.25	2.70	0.55
236.20	153.90	260.60	160.10	44.60	244.50	137.60	11.10	41.00	19.40	46.50	175.00	15.30	37.50	60.00	23.70	170.90	53.30	110.80	19.60	28.00	115.70	130.20	88.30	30.60	21.20	24.00	43.80	23.10	23.90	28.00	27.30	20.00	26.40	19.10	69.70	21.10	31.70	30.30	31.00	1.00	1.30	3.00	1.50
128.60	150.20	99.70	193.00	47.10	139.10	96.20	91.60	27.60	15.40	39.80	93.60	17.70	31.60	55.20	17.40	116.20	63.00	182.40	18.50	29.60	123.20	135.90	106.20	27.00	24.10	28.70	52.20	25.10	29.40	30.50	29.10	17.50	37.90	21.00	66.90	20.00	16.40	31.30	28.40	1.05	1.45	3.40	2.05
236.40	137.10	247.30	103.90	54.50	32.90	183.20	97.80	26.70	16.10	52.00	77.40	17.20	15.00	56.50	20.80	91.60	50.80	172.80	19.70	30.00	171.80	128.00	104.80	27.20	25.30	27.30	58.10	17.90	23.80	25.70	30.30	16.70	41.00	25.60	49.30	21.90	23.00	31.70	27.40	0.85	2.30	2.45	1.55
79.10	154.80	277.80	161.10	47.60	104.90	207.49	70.10	30.50	19.50	77.60	118.10	17.50	0.50	61.00	15.90	124.50	69.70	131.00	26.60	32.80	141.80	75.40	122.70	23.60	27.70	25.40	51.90	23.20	25.80	24.30	28.00	26.40	38.60	16.10	50.40	22.00	27.50	30.80	34.40	0.75	1.20	3.45	2.50
177.40	147.50	278.70	7.80	35.50	206.50	5.20	129.30	34.10	17.10	94.90	111.10	17.50	50.00	78.30	24.20	168.30	56.00	90.20	26.10	31.60	102.60	76.00	145.70	23.20	26.00	16.90	49.40	20.90	17.60	30.90	30.40	23.80	42.10	29.00	30.80	20.80	40.10	25.30	30.30	1.45	1.65	4.65	2.30
199.80	146.90	290.60	146.20	52.00	165.90	228.10	14.50	31.90	16.80	68.70	116.90	16.70	33.00	65.70	22.40	165.20	73.80	118.50	32.20	31.80	115.80	53.70	102.70	22.10	27.20	15.40	42.80	23.70	20.20	14.40	27.30	22.70	38.90	18.20	30.50	21.10	39.90	30.80	26.80	1.35	3.30	3.60	1.75
169.20	155.30	41.80	80.60	62.30	149.79	124.80	97.60	26.50	15.00	73.70	102.20	14.40	52.00	73.90	20.70	91.30	68.50	141.40	26.60	29.80	166.89	54.60	109.80	26.30	26.50	23.60	41.70	21.30	25.00	15.80	32.10	28.30	32.40	23.40	29.00	17.40	30.90	28.50	24.30	1.35	3.20	3.35	3.05
155.60	148.20	270.70	198.20	62.20	75.40	50.90	153.90	26.00	17.60	70.30	98.60	18.30	56.70	60.90	34.40	131.90	69.00	181.10	32.70	30.90	154.10	66.20	120.10	23.50	30.60	22.60	38.40	25.10	26.00	18.50	31.90	23.90	47.00	23.10	25.50	19.00	38.30	31.00	25.60	2.05	2.00	4.35	2.45
45.20	138.00	267.90	97.30	53.00	102.30	230.50	82.50	25.60	18.50	82.70	101.20	16.70	57.90	65.60	35.70	149.20	66.50	126.90	19.70	27.40	119.80	65.50	156.60	25.80	31.10	24.50	44.80	23.70	22.80	15.40	25.20	24.00	48.80	26.30	27.80	22.20	29.00	26.00	16.80	1.50	3.05	4.95	2.60
151.60	149.60	210.80	175.30	64.30	163.40	123.40	149.30	23.30	17.50	89.40	135.40	18.40	49.20	78.90	34.40	164.50	76.90	99.20	16.70	37.20	101.50	42.80	145.20	19.90	29.30	30.10	47.10	27.20	29.30	23.20	23.50	23.00	44.40	28.60	27.50	23.50	32.40	30.20	15.70	1.55	3.05	4.45	3.10
11.50	155.40	111.10	8.80	42.40	90.00	93.00	57.80	32.70	13.40	76.20	99.10	17.60	41.80	88.40	35.70	137.30	76.60	140.50	20.60	32.90	124.80	38.20	97.20	24.10	33.50	31.80	44.80	24.00	26.20	22.40	29.10	27.70	47.60	21.50	23.90	22.20	37.90	21.20	23.10	1.35	2.75	5.45	1.95
180.90	152.70	234.60	143.00	70.80	94.60	171.00	68.20	27.60	15.50	68.80	90.50	20.10	51.20	76.60	34.40	112.60	72.40	195.80	22.40	43.20	172.00	36.40	109.80	19.70	32.20	33.50	54.90	29.40	25.80	29.00	28.50	21.70	50.10	18.20	19.60	25.40	30.40	18.60	29.10	1.55	2.80	3.80	2.40
131.80	155.80	257.90	161.70	68.00	125.00	88.80	150.90	23.00	14.90	91.70	117.60	18.30	59.30	61.20	40.50	133.00	82.10	160.20	24.70	39.10	140.50	33.90	122.90	24.90	27.60	29.90	42.10	23.60	25.60	22.60	29.00	20.70	36.10	22.70	28.20	22.30	27.10	28.10	28.20	2.40	1.40	5.80	3.60
93.00	156.80	250.30	142.70	55.30	101.80	98.70	106.10	25.60	17.70	91.10	127.50	21.50	61.70	64.20	33.40	159.00	86.00	114.20	27.80	33.20	115.80	33.30	151.30	25.40	26.00	33.20	37.80	28.50	22.10	24.30	24.90	21.50	47.20	19.80	23.80	23.60	31.40	20.90	31.80	1.40	2.20	5.05	2.70
9.00	125.10	237.90	197.20	80.40	6.30	169.80	135.70	27.50	18.70	103.10	107.90	15.50	57.60	80.00	31.20	154.40	83.40	118.60	25.80	51.80	128.20	32.50	129.00	28.60	27.60	29.50	31.90	25.00	25.70	25.00	27.00	25.90	59.80	23.80	24.60	26.40	25.00	22.60	28.20	1.35	2.25	4.55	3.05
192.90	137.90	272.90	130.30	84.90	47.90	119.70	60.10	39.40	17.50	72.80	98.40	19.50	50.80	68.70	37.50	114.70	53.30	129.30	29.60	22.50	118.20	45.00	24.60	19.90	27.90	26.70	44.10	26.70	31.40	24.20	20.40	21.00	53.80	20.00	22.50	23.40	29.20	25.10	14.40	2.05	3.70	4.45	2.65
139.10	128.90	76.50	178.50	92.80	106.50	47.60	156.90	31.70	14.90	73.30	104.40	19.10	45.80	70.90	35.70	90.00	16.00	155.40	36.90	12.90	115.00	30.30	25.80	23.50	20.80	27.60	42.80	25.10	27.30	26.40	27.30	20.30	32.60	23.70	33.10	24.50	26.90	25.70	36.70	1.55	4.10	5.35	3.25
241.00	147.10	248.40	218.20	82.70	173.50	152.50	160.30	34.30	21.50	81.80	142.20	20.40	48.20	69.50	43.60	129.10	13.80	122.60	23.40	14.50	97.30	25.80	28.20	24.50	25.40	29.60	40.40	18.40	34.60	28.70	24.80	19.60	38.80	22.10	14.40	27.10	35.90	30.80	32.60	1.80	3.00	7.10	2.50
161.50	142.60	159.90	164.60	91.50	160.00	94.50	65.50	30.70	16.00	86.90	110.29	18.90	57.60	81.30	45.00	120.60	15.20	72.00	8.80	12.40	82.30	17.40	41.90	18.30	27.70	28.60	36.00	9.20	37.10	39.50	21.30	21.00	26.10	23.50	26.90	23.50	23.80	34.30	34.90	2.10	3.05	6.40	3.55
73.90	156.50	125.60	101.60	75.30	208.60	71.10	19.20	32.20	6.70	93.40	98.61	8.20	71.00	72.20	31.90	113.50	18.90	110.50	6.50	15.50	97.80	26.50	43.30	27.80	15.80	31.20	35.10	9.10	21.70	32.90	17.70	15.30	30.10	23.00	26.20	25.70	43.80	32.40	35.00	2.15	3.95	7.10	3.70
118.10	148.60	180.80	138.30	69.30	35.20	148.50	188.80	20.40	12.00	78.30	89.90	8.30	53.60	90.10	27.90	91.20	17.80	168.50	7.70	13.20	125.90	26.20	47.10	21.40	16.00	18.40	27.40	9.40	15.80	27.50	15.40	20.90	27.70	23.50	18.30	29.70	34.70	40.10	23.70	3.55	2.85	4.00	4.45
186.60	148.50	138.90	25.40	90.20	160.00	53.20	200.00	27.40	9.30	76.70	110.00	10.20	34.50	85.00	24.00	126.30	24.80	128.90	7.70	14.00	130.20	24.30	54.40	15.20	12.70	21.20	25.70	9.00	17.40	27.90	18.20	18.40	38.20	20.40	24.30	28.10	35.50	35.80	25.90	3.05	3.35	4.20	4.35
70.70	154.00	143.30	147.90	113.50	191.50	171.70	35.80	13.90	11.30	50.80	101.10	10.90	31.70	54.20	26.10	148.10	26.30	93.70	8.10	15.80	91.50	23.90	52.80	18.80	15.80	17.70	21.50	12.00	17.80	20.20	16.60	23.00	39.70	19.20	18.10	28.40	39.30	33.80	27.40	3.45	3.85	6.30	3.70
224.30	154.60	137.00	191.20	121.60	30.50	155.20	200.10	11.10	7.70	7.40	64.80	9.70	33.70	54.30	31.30	122.00	27.80	109.30	9.60	18.80	92.70	22.20	67.40	20.50	15.80	18.60	21.70	15.10	16.60	24.40	19.00	22.80	29.30	24.20	20.90	25.90	45.30	40.70	29.20	2.95	3.05	6.80	4.70
299.70	154.20	141.30	110.90	76.20	113.40	91.20	275.40	12.30	8.30	80.30	78.50	10.80	35.60	63.30	27.30	114.30	33.00	135.60	10.30	16.00	124.40	22.50	60.20	21.50	16.50	13.40	32.90	12.20	18.80	21.10	22.30	21.00	15.90	20.90	18.50	15.50	41.00	32.90	19.50	3.10	4.55	7.15	4.55
198.30	150.10	139.10	139.50	108.40	230.80	76.40	96.40	13.90	10.50	37.40	93.60	9.70	37.00	63.40	24.90	106.60	33.00	144.10	13.60	15.60	139.90	23.20	47.30	19.70	17.60	19.90	29.80	13.80	18.70	25.80	21.10	19.10	22.00	19.20	22.80	13.80	25.10	34.20	15.90	3.40	4.65	7.55	3.80
35.60	148.30	137.30	122.90	137.10	225.90	144.50	265.70	14.40	13.10	67.80	77.10	12.00	38.70	49.90	29.80	129.90	34.10	123.20	12.50	16.70	110.10	30.40	67.70	26.90	21.70	21.50	27.50	15.60	17.40	23.80	22.30	15.30	18.60	14.20	16.30	18.40	17.70	27.10	17.90	3.70	4.85	6.60	4.95
242.00	139.80	138.50	16.50	163.90	155.20	122.40	199.60	13.70	12.70	80.50	75.30	10.10	38.10	54.50	30.60	131.10	35.60	100.90	12.80	18.10	78.60	33.10	82.10	25.20	18.60	22.50	24.40	13.60	20.00	22.20	21.70	14.50	17.90	16.90	16.30	17.90	20.30	21.30	17.10	5.15	3.30	7.05	5.10
258.10	151.70	137.60	148.30	181.50	104.60	92.30	102.00	15.20	8.00	71.00	89.90	11.10	39.30	56.50	31.40	133.70	46.80	145.30	11.40	21.90	104.30	42.20	84.60	24.40	20.10	24.70	29.30	15.80	26.00	28.10	27.90	16.60	19.30	12.40	16.00	21.90	23.70	21.60	20.10	6.30	3.05	5.80	4.25
248.40	150.60	135.50	164.10	137.30	245.20	43.30	222.80	14.70	10.20	48.10	39.70	12.00	32.20	56.40	35.10	94.40	39.10	142.50	10.30	19.50	138.90	30.00	86.50	23.70	17.80	22.30	26.30	15.40	23.60	29.80	14.50	16.70	15.70	15.50	17.10	20.80	24.30	25.10	11.80	5.65	3.85	5.85	3.85
22.90	148.10	136.90	138.30	73.90	75.50	159.70	271.19	15.20	11.40	50.80	131.80	11.50	34.60	49.40	31.60	106.60	42.90	140.60	11.60	23.00	142.10	31.20	82.50	25.60	20.60	22.70	30.80	15.40	19.30	27.60	19.40	15.90	17.00	14.10	17.00	20.90	24.30	21.70	27.30	6.30	2.95	6.30	3.35
240.10	156.20	93.40	117.10	201.90	259.40	185.90	89.30	17.00	12.70	52.20	77.40	12.30	37.90	94.00	33.60	178.70	42.40	100.20	11.30	22.30	130.00	27.40	68.40	21.20	21.30	22.90	31.00	16.10	19.10	29.30	20.90	12.60	20.70	14.50	22.20	21.60	26.30	25.90	29.00	5.40	2.85	5.65	3.60
179.10	143.40	80.20	25.30	186.40	114.00	64.50	207.30	18.40	12.50	50.60	102.30	12.20	35.50	57.30	39.20	128.00	47.70	119.70	13.70	21.30	75.50	27.10	77.80	22.40	16.90	25.30	28.90	18.30	17.70	31.10	21.50	18.50	19.60	15.60	20.00	21.10	21.60	27.90	24.30	5.35	4.15	6.50	6.35
235.40	125.40	244.20	19.30	187.90	175.00	183.90	273.80	20.30	13.90	79.10	112.70	13.40	39.10	66.50	35.90	94.80	46.20	131.40	12.80	26.50	87.50	30.00	93.80	23.50	22.10	20.90	30.20	16.30	17.90	29.00	21.40	15.60	22.10	17.00	20.30	19.50	18.90	26.60	21.40	5.95	3.90	6.60	5.65
99.80	133.50	77.60	200.00	139.80	124.50	89.80	106.30	20.50	15.30	40.40	91.40	12.90	27.70	73.40	41.40	117.50	49.90	140.90	16.80	23.90	111.20	35.90	115.50	22.70	25.90	21.20	29.60	15.70	21.90	32.20	23.50	12.90	20.50	17.30	21.70	19.10	20.30	28.20	25.80	6.65	4.00	6.95	4.60
37.40	136.50	153.10	251.30	273.10	156.40	37.70	26.70	24.40	14.00	41.90	102.00	11.10	45.50	86.50	32.30	137.90	58.50	100.50	24.40	27.10	125.70	47.20	112.30	29.50	23.00	16.80	33.70	18.00	19.60	35.10	28.90	16.10	22.30	15.10	24.30	20.90	31.90	31.20	31.00	6.65	4.25	7.50	4.85
199.00	132.00	184.40	14.10	255.60	251.09	142.10	251.00	20.50	17.10	54.90	93.10	13.00	44.30	70.80	33.90	149.40	59.30	113.40	20.40	30.50	93.70	44.60	77.40	29.50	19.90	21.70	34.60	16.60	24.80	33.30	29.20	18.10	21.70	13.00	21.60	19.20	27.90	32.80	28.80	6.95	3.00	7.95	6.05
192.80	135.00	46.30	191.00	233.60	51.40	262.10	254.50	20.80	17.40	70.10	110.10	13.30	46.20	77.90	35.90	132.60	58.00	148.00	20.70	25.70	101.20	44.90	79.40	30.70	22.40	20.40	31.80	17.20	18.70	31.20	27.40	16.60	19.70	18.00	22.70	16.10	32.90	34.80	25.80	7.15	3.15	6.95	5.25
223.80	133.10	126.40	154.80	226.20	113.40	252.70	252.10	23.70	16.80	64.90	90.90	14.70	33.20	56.00	34.10	78.80	59.70	153.40	18.90	32.30	111.60	28.20	109.30	26.10	20.50	23.20	30.00	19.80	24.10	34.90	25.70	16.40	21.90	19.10	22.70	19.80	27.70	36.00	33.70	8.25	3.65	7.95	6.45
88.10	121.00	173.80	56.50	280.30	259.20	129.30	118.60	23.70	16.70	61.40	95.80	15.20	34.40	84.10	42.20	120.00	53.10	123.60	11.30	29.30	133.40	29.10	131.40	29.70	22.40	26.00	36.70	15.20	25.80	30.70	31.00	17.10	24.20	19.50	22.60	22.70	28.30	36.90	29.10	7.75	3.50	7.70	6.30
0.00						0.00																																					
